station,lead,n_test,pred_modal_prob,empirical_modal_hit,pit_mean,pit_p10,pit_p90
KAUS,13-24h,125,0.371,0.352,0.466,0.104,0.04
KAUS,24-42h,216,0.337,0.356,0.491,0.093,0.037
KAUS,42-66h,216,0.303,0.352,0.487,0.097,0.046
KDEN,13-24h,125,0.304,0.36,0.44,0.112,0.072
KDEN,24-42h,216,0.291,0.356,0.484,0.097,0.046
KDEN,42-66h,216,0.259,0.319,0.483,0.069,0.037
KMIA,13-24h,124,0.535,0.532,0.512,0.113,0.105
KMIA,24-42h,215,0.517,0.549,0.532,0.088,0.121
KMIA,42-66h,215,0.5,0.47,0.509,0.084,0.14
KNYC,13-24h,125,0.315,0.296,0.55,0.12,0.176
KNYC,24-42h,216,0.312,0.245,0.459,0.153,0.125
KNYC,42-66h,216,0.278,0.278,0.475,0.139,0.093
