station,lead,n_train,n_test,bias_mu,sigma_a,sigma_b_xnd,t_df,err_mean,err_sd,err_p05,err_p95,abs_err_le1_pct,xnd_abs_err_corr,test_logscore_model,test_logscore_sigma3_normal
KAUS,13-24h,1096,125,0.37,0.47,0.7,5,0.02,2.72,-4.25,3.0,54.0,0.387,-2.2674,-2.3762
KAUS,24-42h,1095,216,0.37,0.57,0.63,5,0.12,2.71,-4.0,3.2999999999999545,53.0,0.294,-2.2347,-2.3784
KAUS,42-66h,1095,216,0.39,0.57,0.71,5,0.12,3.08,-5.0,4.0,48.1,0.362,-2.3181,-2.4223
KDEN,13-24h,1096,125,0.37,0.6,0.93,8,0.12,3.16,-5.0,4.0,45.1,0.401,-2.4033,-2.5255
KDEN,24-42h,1095,216,0.44,0.46,1.0,8,0.18,3.3,-6.0,5.0,46.5,0.44,-2.408,-2.4862
KDEN,42-66h,1095,216,0.42,0.73,0.92,8,0.18,3.52,-6.0,5.0,42.3,0.42,-2.4562,-2.5242
KMIA,13-24h,1088,124,0.08,0.49,0.55,8,0.05,1.44,-2.0,2.0,75.5,0.288,-1.8505,-2.1735
KMIA,24-42h,1087,215,0.13,0.46,0.59,8,0.06,1.51,-2.0,2.0,75.2,0.292,-1.8621,-2.1766
KMIA,42-66h,1087,215,0.12,0.55,0.52,5,0.05,1.62,-3.0,2.0,72.1,0.234,-1.9474,-2.2083
KNYC,13-24h,1094,125,0.36,0.96,0.62,8,0.4,2.42,-3.0,4.0,50.2,0.302,-2.6074,-2.7712
KNYC,24-42h,1093,216,0.33,1.09,0.58,8,0.4,2.52,-3.0,5.0,50.3,0.267,-2.549,-2.6159
KNYC,42-66h,1093,216,0.36,1.13,0.64,8,0.41,2.75,-4.0,5.0,47.6,0.231,-2.6063,-2.6939
